,Department,zip_code,Variance,Distance,Cosine,Nouns_nb,Variance_std,Distance_std,Cosine_std
655,93,93200,279.96277242596693,1260.9043094007955,211.60349811305915,23,12.17229445330291,4.983811499607887,0.836377462897467
656,26,26300,1226.277995480636,21883.269238255805,3608.4836182932067,93,13.185784897641248,5.115303702257084,0.8434978069876594
657,65,65000,274.92736386906927,1260.1605153876092,204.66673174585847,23,11.953363646481273,4.980871602322566,0.8089594140152508
658,16,16600,157.442266405091,396.76891147296635,63.41135450619434,13,12.110943569622385,5.086780916320081,0.812966083412748
659,92,92170,132.8528361422576,206.47698017777884,31.34805570988261,9,14.761426238028621,5.735471671604968,0.8707793252745168
660,44,44000,179.370246724864,529.3574998238673,89.28552908112263,15,11.958016448324265,5.041499998322546,0.8503383722011679
661,75,75015,392.5616027531422,2363.2404356520856,388.78493843344535,31,12.663277508165878,5.08223749602599,0.8360966417923555
662,33,33140,337.9990667085306,1666.5346892163495,262.13943417206883,26,12.999964104174255,5.1277990437426135,0.8065828743755964
663,38,38430,187.13784141655012,485.77477920522995,75.41844267978136,14,13.366988672610722,5.338184386870659,0.8287740953822128
664,75,75020,555.0995223635351,4421.568190345676,742.5262582542755,42,13.216655294369884,5.135386980656999,0.8623998353708194
665,24,24100,152.43517895828546,303.24048917379406,47.20886204154372,11,13.857743541662314,5.5134634395235285,0.8583429462098858
666,75,75015,563.9413946952733,5651.879316664893,993.2620932864231,49,11.509008055005577,4.806019827095997,0.8446106235428769
667,38,38610,313.4866483889394,1611.8227109607533,272.9465880447561,26,12.057178784189976,4.959454495263857,0.8398356555223264
668,3,3130,552.4621273399757,4123.303669670245,669.6059359016108,40,13.811553183499393,5.2862867559874935,0.8584691485918087
669,92,92130,325.57539800686504,1277.8064195361858,200.17833329500095,22,14.798881727584774,5.53162952180167,0.8665728714069305
670,78,78711,198.3102146227087,611.5471427180812,99.37049196537511,16,12.394388413919295,5.096226189317344,0.8280874330447926
671,13,13012,376.57659305218135,1980.7525889808705,317.24569798733654,28,13.449164037577905,5.240086214235108,0.8392743332998321
672,62,62280,437.211561580646,2748.3990546609493,449.51617945154493,33,13.248835199413515,5.205301239888161,0.8513564004764108
673,27,27400,158.48203894617177,353.3902028782823,57.97513499205705,12,13.206836578847648,5.354397013307308,0.8784111362432886
674,19,19200,140.16542329353615,375.9372528595617,65.36888976887516,13,10.78195563796432,4.81970836999438,0.8380626893445534
675,91,91290,1206.8021711066228,21344.707969319577,3597.085134552503,92,13.117414903332858,5.099070226784419,0.8593132189566419
676,92,92170,1109.7401214409788,17302.142711278397,2848.866918822193,82,13.533416115133887,5.209919515591206,0.8578340616748549
677,31,31330,72.77682883696993,126.68707486027748,23.435393560741772,8,9.09710360462124,4.524538387867053,0.8369783414550633
678,58,58000,192.36258851025843,604.4484342043423,102.89420916535126,16,12.022661781891152,5.037070285036186,0.8574517430445938
679,94,94490,339.9153448698013,1881.842513040736,319.5617323356243,28,12.139833745350046,4.978419346668614,0.8454014082953024
680,59,59283,206.97820930611257,686.5149409308412,117.08327920702428,17,12.175188782712505,5.047903977432656,0.8609064647575314
681,91,91230,796.5062606091003,10054.497624846754,1749.6002842458345,64,12.445410322017192,4.987350012324779,0.8678572838521005
682,38,38220,96.30272319702952,146.33360974172393,24.24568441756833,8,12.03784039962869,5.226200347918712,0.8659173006274404
683,17,17540,183.74660512348228,481.0530159045031,79.8248536089264,14,13.124757508820164,5.286296878071463,0.8771961935046858
684,83,83440,415.0469972339082,2550.897545816264,422.57317184493456,32,12.970218663559631,5.1429386004360165,0.8519620400099487
685,76,76150,745.4834706273515,8577.413087983296,1439.5425056908066,59,12.635313061480534,5.013099408523258,0.8413457075925228
686,33,33700,109.27584368499477,254.09972940575258,44.00723453158739,11,9.934167607726797,4.619995080104593,0.8001315369379526
687,35,35000,257.1881973693037,984.3698629009014,163.9853648115095,20,12.859409868465184,5.180894015267902,0.8630808674289974
688,94,94230,947.1010390938031,12830.71638438764,2114.433074961887,71,13.339451254842297,5.163266150659011,0.8508785009906991
689,93,93600,202.63649641594873,736.2903755011421,126.90369621625189,18,11.257583134219374,4.812355395432301,0.8294359229820385
690,92,92160,478.5418941452113,2869.163012419081,442.1628804620347,33,14.501269519551858,5.43402085685432,0.8374296978447627
691,67,67520,460.66037295865846,3207.5944568316513,536.1103803538479,36,12.796121471073846,5.091419772748653,0.8509688577045205
692,92,92140,526.2120586258739,4620.270523857544,783.2327194244344,44,11.95936496876986,4.884006896255332,0.8279415638736093
693,67,67200,829.6987057496772,10264.382150087487,1723.8101964248292,64,12.964042277338706,5.091459399844984,0.8550645815599351
694,52,52400,151.52264034366635,432.3477064830801,76.36450639193473,14,10.823045738833311,4.751073697616265,0.8391703999113707
695,13,13007,441.2635260460178,2629.0761727267864,429.1023369670556,32,13.789485188938055,5.300556799852392,0.8651256793690637
696,75,75,182.0035889539498,532.6334000105426,89.4179181282051,15,12.133572596929985,5.072699047719453,0.85159922026862
697,92,92260,117.00053892463556,227.304504197475,37.35892629944726,10,11.700053892463556,5.051211204388333,0.8301983622099391
698,44,44000,170.02805302541464,565.4250453741346,99.3651028607224,16,10.626753314088415,4.711875378117788,0.8280425238393534
699,94,94150,158.2780170283138,446.9028631059564,76.01411499243848,14,11.305572644879557,4.911020473691829,0.8353199449718515
700,13,13007,921.808543247569,12131.820083874369,1984.3555277199055,69,13.359544105037232,5.171278808130592,0.8458463460016648
701,30,30570,660.4850869567033,6119.175641287357,1031.9307197572984,49,13.479287488912313,5.203380647353195,0.8774921086371585
702,95,95100,1400.8600966653153,26930.273088926093,4474.299383475343,102,13.73392251632662,5.228164063080197,0.8686273312901074
703,79,79230,164.23238541582,405.54482771508935,63.60760468020681,13,12.633260416601539,5.199292663013966,0.8154821112847027
704,33,33140,257.7941156153733,1062.0445079271929,180.50511032882963,21,12.275910267398729,5.057354799653299,0.8595481444229982
705,69,69002,451.1704785084298,2907.7228246909,452.8731497078133,34,13.269719956130288,5.183106639377718,0.8072605164132144
706,41,41150,229.0166134122838,790.6646005319427,132.88461340465824,18,12.723145189571321,5.167742487136881,0.8685268849977663
707,6,6130,236.13910780285153,803.8606799174094,131.11570876680403,18,13.11883932238064,5.253991372009211,0.856965416776497
708,69,69100,210.38808149782824,630.6892134846897,104.39701873235555,16,13.149255093614265,5.255743445705748,0.8699751561029629
